source_id,city,source_type,source_name,official_or_platform,url_or_page_name,target_table,target_fields,access_method,page_role,source_status,parent_source_id,record_granularity,priority,update_date,last_verified_date,notes
NJ_REG_ENTRY_2023_鼓楼区_GOV,南京,registry_notice,鼓楼区备案托育机构公示,official,鼓楼区 -> 鼓楼区备案托育机构公示,nursery_registry_raw,institution name;address;phone;capacity;registry status,manual_browser_capture,district_notice,probe_pending,NJ_REG_ENTRY_2023,institution,1,,,由 NJ_REG_ENTRY_2023 probe 生成；site_hint=南京市鼓楼区人民政府 网站
NJ_REG_WECHAT_JLTY,南京,registry_platform,金陵托育公众号备案机构页,official-linked platform,金陵托育公众号 > 备案机构名单,nursery_registry_raw,institution name;address;phone,manual_wechat_capture,wechat_registry,manual_required,NJ_REG_ENTRY_2023,institution,1,,2026-04-18,公众号页面作为南京真实机构名单的重要人工补录来源。
NJ_REG_ENTRY_2023_六合区_WX,南京,registry_platform,六合区备案托育机构名单公示,official-linked platform,六合区 -> 六合区备案托育机构名单公示,nursery_registry_raw,institution name;address;phone;capacity;registry status,manual_wechat_capture,district_wechat_notice,probe_pending,NJ_REG_ENTRY_2023,institution,2,,,由 NJ_REG_ENTRY_2023 probe 生成；site_hint=健康六合订阅号；优先导出 HAR 或 HTML 快照。
NJ_REG_ENTRY_2023_建邺区_WX,南京,registry_platform,建邺区0-3岁备案托育机构公示,official-linked platform,建邺区 -> 建邺区0-3岁备案托育机构公示,nursery_registry_raw,institution name;address;phone;capacity;registry status,manual_wechat_capture,district_wechat_notice,probe_pending,NJ_REG_ENTRY_2023,institution,2,,,由 NJ_REG_ENTRY_2023 probe 生成；site_hint=健康建邺微信号；优先导出 HAR 或 HTML 快照。
NJ_REG_ENTRY_2023_江北新区_WX,南京,registry_platform,江北新区备案托育机构名单公示,official-linked platform,江北新区 -> 江北新区备案托育机构名单公示,nursery_registry_raw,institution name;address;phone;capacity;registry status,manual_wechat_capture,district_wechat_notice,probe_pending,NJ_REG_ENTRY_2023,institution,2,,,由 NJ_REG_ENTRY_2023 probe 生成；site_hint=南京江北新区微信号；优先导出 HAR 或 HTML 快照。
NJ_REG_ENTRY_2023_高淳区_WX,南京,registry_platform,高淳区0-3岁托育机构备案托育机构名单公示,official-linked platform,高淳区 -> 高淳区0-3岁托育机构备案托育机构名单公示,nursery_registry_raw,institution name;address;phone;capacity;registry status,manual_wechat_capture,district_wechat_notice,probe_pending,NJ_REG_ENTRY_2023,institution,2,,,由 NJ_REG_ENTRY_2023 probe 生成；site_hint=健康高淳微信号；优先导出 HAR 或 HTML 快照。
NJ_REG_PUHUI_2025B2,南京,registry_list,南京市2025年第二批新增普惠托育服务机构名单公示,official,https://wjw.nanjing.gov.cn/njswshjhsywyh/202511/t20251111_5686527.html,nursery_registry_raw,institution name;district,html_parse,incremental_notice,blocked,,institution,2,2025-11-11,2026-04-18,当前 404，保留为历史 blocker，不作为当前非空表主路径。
NJ_POP_7C_2021,南京,census7,南京市第七次全国人口普查公报,official,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,population_city_district,district population;0-14;15-59;60+;65+,html_parse,census_notice,confirmed_direct,,district,1,2021-05-24,2026-04-18,区级人口底座核心源
NJ_POP_GB_2024,南京,stat_bulletin,南京市2024年国民经济和社会发展统计公报,official,https://tjj.nanjing.gov.cn/njstjj/202504/t20250401_5108470.html,population_city_district,resident population;urbanization rate,html_parse,bulletin,confirmed_direct,,city,1,2025-04-01,2026-04-18,城市年度总量与口径校验源
NJ_POP_YB_2024,南京,stat_yearbook,南京统计年鉴2024,official,https://tjj.nanjing.gov.cn/material/njnj_2024/,population_city_district,yearbook directory;population chapter locator,manual_download_html,yearbook,confirmed_direct,,city,1,NA,2026-04-18,年鉴目录稳定但本地抓取可能被 WAF 拦截
NT_REG_ORGAN_SEARCH,南通,registry_list,南通托育在线机构列表,platform,https://www.health-nt.com/organ/search,nursery_registry_raw,institution name;address;phone;service scope,html_parse_ssr,organ_search,confirmed_direct,NT_REG_PLATFORM_HOME,institution,1,,2026-04-18,公开 SSR 页面内含机构对象数据，可直解析名称、地址、电话等字段
NT_REG_PLATFORM_HOME,南通,registry_platform,南通托育在线首页,platform,https://www.health-nt.com/,nursery_registry_raw,platform entry,manual_browser_capture,platform_home,confirmed_platform,NT_REG_PORTAL_2023,city,1,,2026-04-18,平台首页可作为后续详情页人工核对入口
NT_REG_PORTAL_2023,南通,registry_platform,南通托育在线引流页,official-linked platform,https://www.nantong.gov.cn/ntsrmzf/ylfwzx/content/25923065-a8b6-41c4-9b5b-398e22870303.html,nursery_registry_raw,entry page;platform hints,manual_browser_capture,official_entry,confirmed_entry_only,,city,1,2023-10-18,2026-04-18,原官方文章已失效，但仍保留为历史入口与 blocker 证据
NT_POP_7C_AGE_2021,南通,census7,南通市第七次全国人口普查公报（第四号）,official,https://tjj.nantong.gov.cn/ntstj/tjgb/content/207c7940-dff2-47d9-89dd-cd939acfe4f8.html,population_city_district,0-14;15-59;60+;65+,html_parse,census_notice,confirmed_direct,,district,1,2021-05-24,2026-04-18,年龄结构核心源
NT_POP_7C_REGION_2021,南通,census7,南通市第七次全国人口普查公报（第二号）,official,https://tjj.nantong.gov.cn/ntstj/tjgb/content/bee00145-67eb-4189-9208-8d1aa20d9e2c.html,population_city_district,district population,html_parse,census_notice,confirmed_direct,,district,1,2021-05-24,2026-04-18,县市区人口底座核心源
NT_POP_GB_2024,南通,stat_bulletin,2024年南通市国民经济和社会发展统计公报,official,https://tjj.nantong.gov.cn/ntstj/tjgb/content/e57175ba-f93c-4840-a82a-0007fb889139.html,population_city_district,resident population;urbanization rate,html_parse,bulletin,confirmed_direct,,city,1,2025-04-03,2026-04-18,城市年度总量与口径校验源
NT_POP_YB_INDEX,南通,stat_yearbook,南通统计年鉴索引页,official,https://tjj.nantong.gov.cn/ntstj/tjnj/tjnj.html,population_city_district,yearbook files;edition list,html_parse,yearbook,confirmed_direct,,city,1,NA,2026-04-18,后续按年份分册落盘
YC_REG_PUHUI_DEMO_2023,盐城,registry_notice,关于2023年市级普惠托育机构和市级示范托育机构名单的公示,official,https://wsj.yancheng.gov.cn/art/2023/10/31/art_2440_4079737.html,nursery_registry_raw,institution name;address;district;institution type,html_parse,city_notice_table,confirmed_direct,,institution,1,2023-10-31,2026-04-18,盐城当前首条可直解析真实机构名录源，优先用于空表转实表
SZ_REG_H5_HEALTH_SUZHOU,苏州,registry_platform,健康苏州掌上行 > 苏州托育地图,official-linked platform,健康苏州掌上行 App > 苏州托育地图,nursery_registry_raw,institution name;address;phone;capacity;service scope,manual_app_capture,platform_h5_probe,manual_required,SZ_REG_MAP_2024,institution,1,,,优先导出公开 H5 HAR 或 HTML 快照，不直接补机构字段。
SZ_REG_H5_SUZHOUDAO,苏州,registry_platform,苏周到 > 苏州托育地图,official-linked platform,苏周到 App > 苏州托育地图,nursery_registry_raw,institution name;address;phone;capacity;service scope,manual_app_capture,platform_h5_probe,manual_required,SZ_REG_MAP_2024,institution,1,,,优先记录最终公开 H5 URL 或导出 HAR。
SZ_REG_MAP_2024,苏州,registry_entry,苏州市托育服务宣传月启动 “苏州托育地图”上线,official,https://www.suzhou.gov.cn/szsrmzf/szyw/202406/43d1eaf4085a435582b8deb958eef36e.shtml,nursery_registry_raw,entry page;platform hints;app channels,html_parse,citywide_platform_news,confirmed_entry_only,,city,1,2024-06-16,2026-04-18,官方报道确认覆盖全市备案机构，实际名录在 App/H5 场景中，可作为 H5 probe 起点。
SZ_REG_MAP_2025_NEWS,苏州,registry_entry,苏州托育地图2.0版上线,official,https://www.suzhou.gov.cn/szsrmzf/dstx/202506/263d7f3eec0b4fdfb6b1134406deeec1.shtml,nursery_registry_raw,entry page;platform hints;app channels,html_parse,citywide_platform_news,confirmed_entry_only,SZ_REG_MAP_2024,city,1,2025-06-09,2026-04-18,官方页面确认托育地图 2.0 能提供托位、电话、预约等公开字段。
SZ_REG_MAP_2025_WJW,苏州,registry_entry,苏州托育地图2.0版，正式上线！,official,https://wsjkw.suzhou.gov.cn/szswjw/bdxw/202506/9226398f983640d391b4f7e4f339488e.shtml,nursery_registry_raw,entry page;public features;phone/capacity hints,html_parse,citywide_platform_news,confirmed_entry_only,SZ_REG_MAP_2024,city,1,2025-06-09,2026-04-18,卫健委页面进一步确认地图支持公开电话、托位与预约能力。
SZ_REG_WECHAT_SUZHOU_HEALTH,苏州,registry_platform,苏州健康公众号 > 苏州托育地图,official-linked platform,苏州健康公众号 > 苏州托育地图,nursery_registry_raw,institution name;address;phone;capacity;service scope,manual_wechat_capture,wechat_h5_probe,manual_required,SZ_REG_MAP_2024,institution,1,,,优先导出公开 H5 HAR 或保存 HTML 快照。
SZ_POP_7C_AGE_2021,苏州,census7,苏州市第七次全国人口普查公报（第四号）,official,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/63f291317a62483ba1b6872b64b45b98.shtml,population_city_district,0-14;15-59;60+;65+,html_parse,census_notice,confirmed_direct,,district,1,2021-05-31,2026-04-18,年龄结构核心源
SZ_POP_7C_REGION_2021,苏州,census7,苏州市第七次全国人口普查公报（第二号）,official,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,population_city_district,district population,html_parse,census_notice,confirmed_direct,,district,1,2021-05-31,2026-04-18,市区县人口底座核心源
SZ_POP_GB_2024,苏州,stat_bulletin,2024年苏州市国民经济和社会发展统计公报,official,https://tjj.suzhou.gov.cn/sztjj/tjgb/202504/c77512c90a144784beba4870a6b5cc0d.shtml,population_city_district,resident population;urbanization rate,html_parse,bulletin,confirmed_direct,,city,1,2025-04-30,2026-04-18,城市年度总量与口径校验源
SZ_POP_YB_2024,苏州,stat_yearbook,苏州统计年鉴2024目录页,official,https://tjj.suzhou.gov.cn/sztjj/tjnj/nav_list.shtml,population_city_district,yearbook directory;population chapter locator,pdf_parse,yearbook,confirmed_direct,,city,1,2024-12-11,2026-04-18,目录页稳定;具体分册 PDF 后续补抓
